title,type,date_added,Action & Adventure,Anime,International,Family,Classic,Comedy,Crime,Cult,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,LGBTQ,Music,Reality,Romantic,Sci-Fi & Fantasy,Science & Nature,Sports,Mystery,Thriller,Teen,mean_price,averageRating
Dick Johnson Is Dead,Movie,2021-09-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,7.4
Blood & Water,TV Show,2021-09-24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,588.4411692899816,7.1
Ganglands,TV Show,2021-09-24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,7.2
Jailbirds New Orleans,TV Show,2021-09-24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,588.4411692899816,6.6
Kota Factory,TV Show,2021-09-24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,588.4411692899816,9.0
Midnight Mass,TV Show,2021-09-24,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,588.4411692899816,7.7
Sankofa,Movie,2021-09-24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,588.4411692899816,7.0
The Starling,Movie,2021-09-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.4
Je Suis Karl,Movie,2021-09-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,5.5
Confessions of an Invisible Girl,Movie,2021-09-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,5.3
Crime Stories: India Detectives,TV Show,2021-09-22,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,7.0
Dear White People,TV Show,2021-09-22,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.4
Intrusion,Movie,2021-09-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,588.4411692899816,5.3
Jaguar,TV Show,2021-09-22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,5.9
Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021-09-22,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.3
Jeans,Movie,2021-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.4
Grown Ups,Movie,2021-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.0
Dark Skies,Movie,2021-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.3
Paranoia,Movie,2021-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,588.4411692899816,5.6
Chicago Party Aunt,TV Show,2021-09-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,5.6
Sex Education,TV Show,2021-09-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,8.3
Squid Game,TV Show,2021-09-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,7.1
The Father Who Moves Mountains,Movie,2021-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,588.4411692899816,5.6
The Stronghold,Movie,2021-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.9
Angry Birds,TV Show,2021-09-16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.8
Birth of the Dragon,Movie,2021-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,5.7
He-Man and the Masters of the Universe,TV Show,2021-09-16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,588.4411692899816,7.5
Jaws,Movie,2021-09-16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,8.1
Jaws 2,Movie,2021-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,588.4411692899816,5.8
Jaws: The Revenge,Movie,2021-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,588.4411692899816,3.0
My Heroes Were Cowboys,Movie,2021-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.7
Safe House,Movie,2021-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.7
Training Day,Movie,2021-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,588.4411692899816,7.7
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,2021-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,7.3
InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,2021-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,7.6
Naruto Shippuden the Movie: Blood Prison,Movie,2021-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,7.1
Naruto the Movie 2: Legend of the Stone of Gelel,Movie,2021-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.4
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,2021-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.3
Naruto the Movie: Ninja Clash in the Land of Snow,Movie,2021-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.6
Nightbooks,Movie,2021-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,5.8
Saved by the Bell,TV Show,2021-09-15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,7.1
Stories by Rabindranath Tagore,TV Show,2021-09-15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,8.6
Jack Whitehall: Travels with My Father,TV Show,2021-09-14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,7.6
King of Boys,Movie,2021-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.2
The World's Most Amazing Vacation Rentals,TV Show,2021-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,588.4411692899816,6.8
You vs. Wild: Out Cold,Movie,2021-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,5.4
Yowamushi Pedal,TV Show,2021-09-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,8.3
Kate,Movie,2021-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.2
Lucifer,TV Show,2021-09-10,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.9
Prey,Movie,2021-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,588.4411692899816,4.3
Paradise Hills,Movie,2021-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,588.4411692899816,5.2
Into the Night,TV Show,2021-09-08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,588.4411692899816,9.0
JJ+E,Movie,2021-09-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,5.4
Show Dogs,Movie,2021-09-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,4.0
The Circle,TV Show,2021-09-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,588.4411692899816,3.5
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,2021-09-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,588.4411692899816,7.8
Kid Cosmic,TV Show,2021-09-07,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,588.4411692899816,7.9
Octonauts: Above & Beyond,TV Show,2021-09-07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,7.1
On the Verge,TV Show,2021-09-07,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.6
Tobot Galaxy Detectives,TV Show,2021-09-07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.2
Shadow Parties,Movie,2021-09-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,588.4411692899816,6.9
